"Date & Time","use [kW]","gen [kW]","Power Phase1 [kW]","Power Phase2 [kW]","Power Phase 3 [kW]","Intensity Phase1 [A]","Intensity Phase2 [A]","Intensity Phase3 [A]","Main Circuit Breaker [kW]"
2015-10-01 09:56:00,95.407733333,-0.000000000,32.172316667,33.606083333,29.629333333,165.032024505,169.666608059,154.131140654,95.407733333
2015-10-01 09:55:00,88.064883333,-0.000000000,31.616650000,29.375366667,27.072866667,160.508640957,150.425573811,141.925890074,88.064883333
2015-10-01 09:54:00,87.312550000,-0.000000000,29.486633333,29.636366667,28.189550000,152.055040556,151.321923854,146.619906964,87.312550000
2015-10-01 09:53:00,83.231516667,-0.000000000,29.213300000,28.456200000,25.562016667,148.836923736,144.822373545,133.829573023,83.231516667
2015-10-01 09:52:00,84.930800000,-0.000000000,29.367050000,28.721483333,26.842266667,151.150740513,147.913657026,140.911273360,84.930800000
2015-10-01 09:51:00,86.054966667,-0.000000000,30.203266667,28.615800000,27.235900000,155.005674029,147.981623695,143.104640130,86.054966667
2015-10-01 09:50:00,88.746283333,-0.000000000,30.567966667,30.667766667,27.510550000,156.708774110,156.097090748,144.607056868,88.746283333
2015-10-01 09:49:00,86.705100000,-0.000000000,30.223816667,29.933783333,26.547500000,154.677307347,152.622140582,139.699256635,86.705100000
2015-10-01 09:48:00,83.803083333,-0.000000000,29.425033333,28.469983333,25.908066667,149.958490456,145.325506903,135.495089769,83.803083333
2015-10-01 09:47:00,79.478283333,-0.000000000,27.298383333,26.968483333,25.211416667,141.469590053,139.371406620,132.726739638,79.478283333
2015-10-01 09:46:00,78.660100000,-0.000000000,27.291700000,27.190066667,24.178333333,141.447723385,140.214323326,128.698022779,78.660100000
2015-10-01 09:45:00,81.770983333,-0.000000000,28.718466667,27.378750000,25.673766667,146.378340286,140.178139991,134.268673044,81.770983333
2015-10-01 09:44:00,84.311683333,-0.000000000,28.449933333,29.426033333,26.435716667,146.685656967,149.930690455,138.509139912,84.311683333
2015-10-01 09:43:00,85.623366667,-0.000000000,30.675766667,27.984350000,26.963250000,156.124457416,145.463340242,141.652206728,85.623366667
2015-10-01 09:42:00,84.817166667,-0.000000000,29.505433333,28.435950000,26.875783333,151.583007200,147.168856990,141.181173372,84.817166667
2015-10-01 09:41:00,86.685833333,-0.000000000,29.391733333,29.957383333,27.336716667,148.504340387,150.191557134,139.908639979,86.685833333
2015-10-01 09:40:00,85.766366667,-0.000000000,29.024466667,30.402916667,26.338983333,144.813490212,149.471057099,133.316506332,85.766366667
2015-10-01 09:39:00,89.699033333,-0.000000000,30.223166667,31.567983333,27.907883333,149.339973760,154.228990659,139.014923270,89.699033333
2015-10-01 09:38:00,90.424716667,-0.000000000,30.928700000,31.918200000,27.577816667,153.063590603,156.406390762,138.578839915,90.424716667
2015-10-01 09:37:00,91.609100000,-0.000000000,30.458900000,33.769966667,27.380233333,153.517823958,166.178441226,140.200273326,91.609100000
